ts,step,boss,boss_max,player_raw,player_stable,reward,done,done_reason
1763634567.7653053,0,1200.0,1200.0,517.0,4,0.0,False,warmup_skip
1763634567.8451977,1,1200.0,1200.0,517.0,4,0.0,False,warmup_skip
1763634567.9848745,2,1200.0,1200.0,4.0,4.0,0.0,False,warmup_skip
1763634568.0981064,3,1200.0,1200.0,4.0,4.0,0.0,False,warmup_skip
1763634568.2052145,4,1200.0,1200.0,4.0,4.0,0.0,False,warmup_skip
1763634568.2964451,5,1200.0,1200.0,4.0,4.0,0.05,False,
1763634568.455122,6,1200.0,1200.0,4.0,4.0,0.05,False,
1763634568.5013783,7,1200.0,1200.0,4.0,4.0,0.0,False,
1763634568.7524338,8,1200.0,1200.0,4.0,4.0,0.05,False,
1763634568.8425145,9,1200.0,1200.0,4.0,4.0,0.05,False,
1763634568.8892946,10,1200.0,1200.0,4.0,4.0,0.0,False,
1763634569.0457664,11,1200.0,1200.0,4.0,4.0,0.05,False,
1763634569.0926747,12,1200.0,1200.0,4.0,4.0,0.0,False,
1763634569.1824386,13,1200.0,1200.0,4.0,4.0,0.05,False,
1763634569.228517,14,1200.0,1200.0,4.0,4.0,0.0,False,
1763634569.3395288,15,1200.0,1200.0,4.0,4.0,0.0,False,
1763634569.557209,16,1200.0,1200.0,4.0,4.0,0.05,False,
1763634569.6352012,17,1200.0,1200.0,4.0,4.0,0.0,False,
1763634569.6658506,18,1200.0,1200.0,4.0,4.0,0.0,False,
1763634569.743226,19,1200.0,1200.0,4.0,4.0,0.05,False,
1763634569.7735255,20,1200.0,1200.0,4.0,4.0,0.0,False,
1763634569.8684258,21,1200.0,1200.0,4.0,4.0,0.01,False,
1763634569.9007177,22,1200.0,1200.0,4.0,4.0,0.0,False,
1763634569.9931667,23,1200.0,1200.0,4.0,4.0,0.05,False,
1763634570.039542,24,1200.0,1200.0,4.0,4.0,0.0,False,
1763634570.0875187,25,1200.0,1200.0,4.0,4.0,1.0,False,
1763634570.2433035,26,1200.0,1200.0,4.0,4.0,0.05,False,
1763634570.2893026,27,1200.0,1200.0,4.0,4.0,0.0,False,
1763634570.4002733,28,1200.0,1200.0,4.0,4.0,0.05,False,
1763634570.5236442,29,1200.0,1200.0,4.0,4.0,0.05,False,
1763634570.569432,30,1200.0,1200.0,4.0,4.0,0.0,False,
1763634570.6804543,31,1200.0,1200.0,4.0,4.0,0.05,False,
1763634570.7261324,32,1200.0,1200.0,4.0,4.0,0.0,False,
1763634570.8050275,33,1200.0,1200.0,4.0,4.0,0.0,False,
1763634570.9293566,34,1200.0,1200.0,4.0,4.0,0.05,False,
1763634571.0059264,35,1200.0,1200.0,4.0,4.0,0.05,False,
1763634571.1783347,36,1200.0,1200.0,4.0,4.0,0.01,False,
1763634571.254861,37,1200.0,1200.0,4.0,4.0,0.0,False,
1763634571.301588,38,1200.0,1200.0,4.0,4.0,0.0,False,
1763634571.4127371,39,1193.300048828125,1200.0,4.0,4.0,0.6180203800455729,False,
1763634571.5657773,40,1193.300048828125,1200.0,4.0,4.0,0.05002233317057292,False,
1763634571.6760712,41,1193.300048828125,1200.0,4.0,4.0,2.233317057291684e-05,False,
1763634571.771568,42,1193.300048828125,1200.0,4.0,4.0,0.05002233317057292,False,
1763634571.8650067,43,1193.300048828125,1200.0,4.0,4.0,0.05002233317057292,False,
1763634571.9595432,44,1193.300048828125,1200.0,4.0,4.0,0.010022333170572916,False,
1763634572.0376086,45,1186.60009765625,1200.0,4.0,4.0,0.5680427132161459,False,
1763634572.1133523,46,1186.60009765625,1200.0,4.0,4.0,4.466634114583323e-05,False,
1763634572.210321,47,1186.60009765625,1200.0,4.0,4.0,0.050044666341145835,False,
1763634572.3179948,48,1186.60009765625,1200.0,4.0,4.0,4.466634114583323e-05,False,
1763634572.4125705,49,1186.60009765625,1200.0,4.0,4.0,0.010044666341145833,False,
1763634572.491565,50,1186.60009765625,1200.0,4.0,4.0,4.466634114583323e-05,False,
1763634572.5215786,51,1186.60009765625,1200.0,4.0,4.0,4.466634114583323e-05,False,
